epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,3787.07,0.89067,0.63379,1.09949,0.52513,0.50421,0.47402,0.22039,1.95776,1.55453,2.01037,0.000456758,0.000456758,0.000456758
112,3823.93,0.8583,0.59764,1.07241,0.5465,0.49122,0.47701,0.2284,1.94107,1.58361,1.96263,0.000445756,0.000445756,0.000445756
113,3858.15,0.87064,0.62624,1.0786,0.61707,0.43239,0.46029,0.22162,1.93869,1.6082,1.97537,0.000434754,0.000434754,0.000434754
114,3891.36,0.85954,0.61431,1.06535,0.60639,0.46895,0.45529,0.21387,1.97485,1.63216,2.0107,0.000423751,0.000423751,0.000423751
115,3923.51,0.87061,0.60477,1.0874,0.56016,0.50803,0.48529,0.22635,1.96345,1.56619,2.00936,0.000412749,0.000412749,0.000412749
116,3957.03,0.86164,0.60333,1.07188,0.56723,0.51806,0.51104,0.23036,1.9469,1.54571,2.00225,0.000401747,0.000401747,0.000401747
117,3989.39,0.86005,0.59331,1.0828,0.53347,0.50297,0.47729,0.2173,1.97769,1.63974,1.9864,0.000390745,0.000390745,0.000390745
118,4022.98,0.83845,0.58841,1.07106,0.51554,0.51726,0.4917,0.22652,1.95678,1.56943,1.99553,0.000379743,0.000379743,0.000379743
119,4056.06,0.82468,0.58742,1.06353,0.56551,0.50821,0.50774,0.23382,1.95163,1.50522,2.00975,0.00036874,0.00036874,0.00036874
120,4089.92,0.83717,0.58659,1.0652,0.65377,0.44139,0.473,0.22112,1.97286,1.61191,2.00408,0.000357738,0.000357738,0.000357738
121,4124.57,0.83056,0.58685,1.06048,0.54596,0.48799,0.45735,0.22225,1.96799,1.70639,2.01738,0.000346736,0.000346736,0.000346736
122,4160.58,0.85138,0.60059,1.07219,0.6115,0.47504,0.47815,0.22972,1.96718,1.54029,1.99639,0.000335734,0.000335734,0.000335734
123,4193.11,0.82518,0.57717,1.05541,0.5694,0.47326,0.48564,0.23593,1.95906,1.55855,1.98814,0.000324732,0.000324732,0.000324732
124,4225.59,0.80705,0.57256,1.05286,0.54011,0.49369,0.48752,0.23905,1.93229,1.5587,1.99028,0.000313729,0.000313729,0.000313729
125,4259.35,0.79812,0.56084,1.0496,0.5006,0.53596,0.49163,0.23155,1.99142,1.55632,2.04701,0.000302727,0.000302727,0.000302727
126,4293.22,0.80325,0.57138,1.06046,0.5321,0.51256,0.47937,0.23408,1.94945,1.55412,1.98324,0.000291725,0.000291725,0.000291725
127,4327.37,0.81968,0.57957,1.05886,0.50843,0.50981,0.48503,0.23107,1.95168,1.59429,1.99401,0.000280723,0.000280723,0.000280723
128,4361.7,0.78274,0.54305,1.02943,0.52859,0.53559,0.48884,0.23494,1.99234,1.58198,2.03376,0.000269721,0.000269721,0.000269721
129,4394.56,0.80366,0.55455,1.05309,0.57439,0.48411,0.48968,0.22617,1.96894,1.60049,2.00972,0.000258718,0.000258718,0.000258718
130,4426.5,0.78129,0.5409,1.04085,0.57485,0.50558,0.4891,0.22714,1.94183,1.61339,2.00781,0.000247716,0.000247716,0.000247716
131,4462.8,0.76898,0.55321,1.03567,0.50505,0.5399,0.47826,0.22049,1.97454,1.62374,1.9776,0.000236714,0.000236714,0.000236714
132,4497.36,0.76326,0.53822,1.02082,0.59187,0.49262,0.50293,0.23076,1.97345,1.56442,2.03096,0.000225712,0.000225712,0.000225712
